Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm
284,345000,"1 Castlegrange Terrace, Castaheany, Clonee, Dublin 15",4,4,134.0,2575.0
285,625000,"33 Luttrellstown Drive, Castleknock, Castleknock, Dublin 15",3,4,151.0,4139.0
286,330000,"Apartment 004 Block B The Hill, Clon Brugh, Aiken's Village, Sandyford, Dublin 18",2,2,83.0,3976.0
287,364500,"11 Mount Rochford Avenue, Flemington Lane, Balbriggan, Co. Dublin",4,3,124.0,2940.0
288,595000,"80 BLOCK 5A, The Casino, Malahide, Co. Dublin",2,2,83.0,7169.0
289,265000,"Apt 29, Ladycove, Rush, Co. Dublin",2,2,70.0,3786.0
290,529950,"39 Ash Grove, Kill Avenue, Dun Laoghaire, Co. Dublin",3,1,75.0,7066.0
291,1295000,"5 Burrow Road, Sutton, Dublin 13",4,3,186.0,6962.0
292,495000,"53 Longwood Park, Rathfarnham, Dublin 14",3,1,82.0,6037.0
293,750000,"Astoria, 28 Castleknock Road, Castleknock, Dublin 15",5,2,173.0,4335.0
294,400000,"8 Spitalfields, Dublin 8",2,2,68.0,5882.0
295,525000,"3 Park Close, Glenageary Heights, Glenageary, Co. Dublin",3,2,102.0,5147.0
296,230000,"47 Dublin Street, Balbriggan, Co. Dublin",3,1,131.0,1756.0
297,495000,"23 Woodstown Meadow, Knocklyon, Dublin 16",3,3,98.0,5051.0
298,495000,"13 Parklands Drive, Ballycullen, Ballycullen, Dublin 24",4,3,118.0,4195.0
299,280000,"9 Castlegate Terrace, Lucan, Co. Dublin",2,3,80.0,3500.0
300,475000,"334 Collinswood, Collins Avenue, Beaumont, Dublin 9",3,3,89.0,5337.0
301,275000,"5 The Swift, Tassagard Green, Saggart, Co. Dublin",2,2,82.0,3354.0
302,600000,"3 Gallery Quay, Dublin 2",3,2,100.0,6000.0
303,220000,"Apartment 24, The Mill, Dublin 8",2,1,50.0,4400.0
304,275000,"Apt.15 Howth Junction Court, Kilbarrack, Dublin 13",2,1,69.0,3986.0
305,320000,"35 Block D, Radcliffe Apartments, Dublin Road, Sutton, Dublin 13",1,1,62.0,5161.0
306,925000,"13 Cornelscourt Hill Road, Foxrock, Dublin 18",3,3,133.0,6955.0
307,349950,"4 Mount Bellew Rise, Lucan, Co. Dublin",3,3,98.0,3571.0
308,500000,"Apartment 42, Forbes Quay Apartments, Grand Canal Dock, Dublin 2",2,2,68.0,7353.0
309,420000,"24 Clanmaurice Road, Donnycarney, Dublin 5",2,2,75.0,5600.0
310,350000,"258 Castleforbes Square, Block E, Docklands, Dublin 1",2,2,66.0,5303.0
