,price,address,bedrooms,bathrooms,floor_area
224,"€300,000 ","18 Beechfield Haven, Beechfield Manor, Shankill, Dublin 18",2 Bed,1 Bath,68 m²
225,"€475,000 ","Apartment 5, Bissett's Loft, Malahide, Co. Dublin",2 Bed,2 Bath,72 m²
226,"€320,000 ","Apartment 12 Grande Central, Rockbrook, Sandyford, Dublin 18",1 Bed,1 Bath,58 m²
227,"€340,000 ","3 Bealing Grove, Tyrellstown, Tyrrelstown, Dublin 15",3 Bed,3 Bath,95 m²
228,"€695,000 ","14 Vale View Lawn The Park Cabinteely Dublin 18, Cabinteely, Dublin 18",4 Bed,2 Bath,135 m²
229,"€370,000 ","19 Waterside Way, Swords Road, Malahide, Co. Dublin",3 Bed,3 Bath,100 m²
230,"€365,000 ","62 Waterside Court, Swords Road, Malahide, Co. Dublin",3 Bed,2 Bath,107 m²
231,"€425,000 ","35 Grove Park Road, Glasnevin, D11 HY86, Dublin 11",3 Bed,1 Bath,85 m²
232,"€490,000 ","12A Pinewood Crescent, Glasnevin, D11R597, Dublin 11",3 Bed,3 Bath,135 m²
233,"€280,000 ","4 Roby Hall Crofton Avenue Dun Laoghaire, Dun Laoghaire, Co. Dublin",1 Bed,1 Bath,41 m²
234,"€365,000 ","44 Cameron Square, Kilmainham, Kilmainham, Dublin 8",3 Bed,1 Bath,75 m²
235,"€375,000 ","23 Cameron Square, Kilmainham, Kilmainham, Dublin 8",2 Bed,1 Bath,72 m²
236,"€749,950 ","3 Tudor Hall, Pottery Road, Glenageary, Dun Laoghaire, Co. Dublin",4 Bed,3 Bath,158 m²
237,"€250,000 ","18 St. Josephs Place, Phibsborough, D07P62H, Dublin 7",1 Bed,1 Bath,40 m²
238,"€560,000 ","6 Beresford Crescent, Donabate, Co. Dublin",4 Bed,3 Bath,137 m²
239,"€525,000 ","17 Lomond Avenue, Fairview, Fairview, Dublin 3",3 Bed,1 Bath,104 m²
240,"€725,000 ","Hill Grove, 189 Swords Road, Swords, Co. Dublin",4 Bed,3 Bath,175 m²
241,"€470,000 ","14 Castle Oaks, Dublin Road, Malahide, Co. Dublin",2 Bed,2 Bath,70 m²
242,"€675,000 ","86 Ardmore Park, Kill Avenue, Dun Laoghaire, Co. Dublin",3 Bed,1 Bath,85 m²
243,"€320,000 ","73 Cill Cais, Old Bawn Road, Tallaght, Dublin 24",3 Bed,1 Bath,90 m²
244,"€295,000 ","73A Cill Cais, Old Bawn Road, Tallaght, Dublin 24",2 Bed,1 Bath,70 m²
245,"€325,000 ","21 Hazelwood Crescent, Clondalkin, Dublin 22",4 Bed,1 Bath,100 m²
246,"€295,000 ","Apt 25, Woodbrook Hall, Porterstown, D15N262, Blanchardstown, Dublin 15",2 Bed,2 Bath,80 m²
247,"€325,000 ","10 Mount Eustace Rise, Tyrrelstown, D15F3C6, Dublin 15",3 Bed,3 Bath,95 m²
248,"€560,000 ","24 Grange Terrace, Deansgrange Road, Deans Grange, Co. Dublin",2 Bed,1 Bath,82 m²
249,"€365,000 ","67 Oldtown Avenue, Santry, Santry, Dublin 9",4 Bed,1 Bath,95 m²
250,"€575,000 ","88 Rosemount Estate, Dundrum, Dundrum, Dublin 14",3 Bed,1 Bath,92 m²
